-5.53739e+15, -0.00170549, 0.929389, 0.00116042
0.904454, -0.00361902, 1.44242, 0.00116365
1.10074, -0.00274289, 1.80841, 0.00116596
1.25168, -0.00432356, 2.1302, 0.00116798
1.56728, -0.0083013, 2.60082, 0.00117095
1.78624, -0.0104235, 2.91801, 0.00117295
1.9681, -0.0132856, 3.20538, 0.00117476
7.79966e+34, -0.0111647, 3.50371, 0.00117664
2.33188, -0.0175456, 3.76667, 0.00117829
-nan, 2.54703, 4.03176, 0.00117996
230400, 2.61089, 4.07741, 0.00118025
230400, 1.86284e+22, 4.29995, 0.00118165
230400, 2.79416, 4.47776, 0.00118277
230400, -1.20601e+38, 4.6438, 0.00118382
230400, 2.99044, 4.80871, 0.00118486
230400, -0.0175515, 4.98033, 0.00118594
